#
#
# Veith-Clawson Q(d,h) distance and depth dependent attenuation parameters
#
# Veith, K.F. and G.E. Clawson, Magnitude from short-period P-wave data,
# Bull. Seism. Soc. Am., 62, 2, 435-452, 1972. Table 2
#
#
# DISTANCE samples
#
#
101
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 
80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
#
#
# DEPTH samples
#
#
11
0 15 40 100 200 300 400 500 600 700 800
#
#
# MAGNITUDE attenuation table Q(d,h)
#
#
101 11
 0.00 -1.82 -1.44 -0.80 -0.36 -0.10 0.08 0.22 0.34 0.44 0.52
 3.54  3.44  3.30  3.20  3.02  2.90 2.81 2.71 2.62 2.52 2.48
 3.54  3.45  3.30  3.20  3.03  2.90 2.81 2.71 2.62 2.53 2.49
 3.55  3.45  3.31  3.20  3.03  2.90 2.81 2.72 2.63 2.54 2.50
 3.56  3.46  3.31  3.20  3.03  2.91 2.83 2.73 2.64 2.56 2.52
 3.57  3.46  3.32  3.21  3.04  2.92 2.85 2.74 2.66 2.58 2.55
 3.58  3.47  3.33  3.23  3.05  2.94 2.87 2.76 2.68 2.60 2.58
 3.59  3.49  3.34  3.25  3.06  2.96 2.89 2.78 2.70 2.63 2.61
 3.61  3.51  3.36  3.27  3.08  2.99 2.91 2.80 2.73 2.66 2.65
 3.64  3.53  3.38  3.30  3.10  3.01 2.93 2.83 2.76 2.69 2.69
 3.66  3.55  3.40  3.32  3.14  3.03 2.95 2.87 2.80 2.73 2.73
 3.68  3.58  3.44  3.34  3.18  3.07 2.99 2.91 2.84 2.77 2.78
 3.72  3.62  3.48  3.38  3.22  3.11 3.03 2.95 2.88 2.82 2.84
 3.76  3.66  3.52  3.42  3.26  3.15 3.08 3.00 2.94 2.88 2.91
 3.80  3.70  3.56  3.46  3.31  3.20 3.11 3.06 3.00 2.95 2.97
 3.85  3.75  3.61  3.51  3.37  3.26 3.20 3.13 3.08 3.03 3.03
 3.91  3.81  3.67  3.57  3.44  3.34 3.28 3.21 3.16 3.11 3.11
 3.98  3.89  3.75  3.65  3.52  3.42 3.36 3.29 3.24 3.19 3.19
 4.06  3.97  3.83  3.73  3.60  3.50 3.44 3.37 3.32 3.27 3.27
 4.14  4.05  3.91  3.81  3.68  3.58 3.52 3.45 3.40 3.35 3.35
 4.22  4.13  3.99  3.89  3.76  3.66 3.60 3.53 3.48 3.43 3.43
 4.30  4.21  4.07  3.97  3.84  3.74 3.68 3.61 3.56 3.51 3.51
 4.38  4.29  4.15  4.05  3.92  3.82 3.76 3.69 3.64 3.59 3.59
 4.46  4.37  4.23  4.13  4.00  3.90 3.84 3.77 3.72 3.67 3.67
 
